date;tavg;tmin;tmax;wdir;wspd;pres
2021-01-02;7,1;2,1;14,5;72;4,9;1024,6
2021-01-03;6,4;1;13,1;94;6,9;1025,1
2021-01-04;5,9;0,4;12,9;113;6,4;1022,1
2021-01-05;4,8;1,5;8;135;8,1;1019,6
2021-01-06;4,7;2,3;7,4;144;5,6;1024,6
2021-01-07;5,6;4;8,7;152;5,7;1023
2021-01-08;7,2;3,9;13;160;7,7;1019,5
2021-01-09;9,4;3,9;14,8;196;9,4;1018,4
2021-01-10;11,6;9,6;14,2;213;10,4;1019,3
2021-01-11;11,2;7,7;15;217;14,4;1018,4
2021-01-12;13,6;8,3;18,4;205;13,7;1014,8
2021-01-13;5,4;1,2;12,2;209;16;1006
2021-01-14;2,6;-4,7;5,3;209;8,2;1007,3
2021-01-15;-1,1;-4,5;0,9;232;8,9;1012,8
2021-01-16;-1,3;-6,2;3,9;92;8,3;1011,1
2021-01-17;-0,7;-4,9;3;257;12,5;1006,1
2021-01-18;-5,7;-8,6;-2,8;261;9,5;1019,2
2021-01-19;-8,4;-13,2;-2,9;63;3,3;1024,4
2021-01-20;-5,9;-11,8;-1,5;203;5,5;1028,9
2021-01-21;-1,5;-4,6;1,9;177;5,2;1033,2
2021-01-22;-0,8;-6;5,1;133;5;1030,5
2021-01-23;1,1;-3,4;7,3;118;6;1024,8
2021-01-24;3,1;-1,5;7,9;147;8,7;1019,2
2021-01-25;5,2;1;8;167;18,6;1016,6
2021-01-26;8,6;5,5;11,4;175;19,4;1015,2
2021-01-27;7,2;2,9;11,7;165;24,3;1004,5
2021-01-28;0,3;-2,8;1,7;236;12,1;1009,6
2021-01-29;-0,6;-2,2;1,5;223;7,8;1016
2021-01-30;1,8;-0,9;5;169;11,9;1009,9
2021-01-31;3,8;1,8;6,7;221;8,4;1012,8
2021-02-01;7,5;1,3;13;167;13,6;1016,9
2021-02-02;8,6;5,1;15,3;145;10,5;1019,2
2021-02-03;9;3,8;15,9;97;5,5;1018,2
2021-02-04;8,6;2,6;15,1;197;7;1017,5
2021-02-05;8,2;2,6;13,3;236;8;1020,7
2021-02-06;8,1;1,3;15,1;210;8;1019,4
2021-02-07;8,9;2,1;16,2;219;8,7;1017,6
2021-02-08;11,3;5,3;16,4;181;11,4;1015,7
2021-02-09;11,9;8;16,7;210;16,5;1016
2021-02-10;7,9;5,3;11,8;205;12,1;1016,2
2021-02-11;8,8;3,7;16,6;175;9,8;1015,2
2021-02-12;5,5;-1,3;10,6;223;18,2;1013,6
2021-02-13;3,3;-4,6;5,5;255;7,4;1024
2021-02-14;5,1;0,5;10;114;7,8;1016,9
2021-02-15;-1,1;-4,2;5,3;351;9,5;1016,8
2021-02-16;-4,2;-7,6;-1,5;26;14,6;1017,8
2021-02-17;-5,3;-8,8;-1;34;8,8;1019,2
2021-02-18;-4,6;-10,9;-0,6;188;5,8;1022,8
2021-02-19;-0,5;-3,1;0,5;295;11;1027,2
2021-02-20;-5,8;-9,5;0,2;115;5,9;1031,8
2021-02-21;-2,3;-6,9;5,3;91;4,9;1032
2021-02-22;1,1;-6,3;8,2;163;3,8;1031,8
2021-02-23;4,3;-2,7;12,2;166;4,5;1030,7
2021-02-24;6,6;-0,8;14,6;34;5;1027,9
2021-02-25;4,5;-2;8,1;39;8,6;1031,1
2021-02-26;5,4;-1,1;12,1;43;4,3;1028,4
2021-02-27;6,4;-0,9;13,7;175;5,1;1021
2021-02-28;4,2;0,7;11,6;283;9,8;1021,1
2021-03-01;2,3;-3,9;7,5;16;5,1;1026
2021-03-02;3,7;0,6;8,1;56;10,1;1026,1
2021-03-03;4,7;-1,5;12,7;23;8,9;1025,3
2021-03-04;4,3;-1,4;9,6;347;6,5;1024,5
2021-03-05;6,9;-2,1;16,1;207;7,5;1020,6
2021-03-06;7,7;0,7;13,1;241;10,9;1020,1
2021-03-07;3,8;1,2;5,8;304;5,6;1021,8
2021-03-08;2,9;-0,2;7,8;240;7,7;1019
2021-03-09;4,3;-2,6;10,3;231;4,8;1018
2021-03-10;7,8;-0,8;13,7;118;7,8;1013,9
2021-03-11;5,4;0,5;9,7;252;9,6;1008,3
2021-03-12;3,1;-1,8;7,2;310;8,7;1020,9
2021-03-13;7,2;-1,9;13,8;169;5,7;1018,7
2021-03-14;9,3;3,1;14,3;169;5,7;1014,1
2021-03-15;10,4;4,6;15,4;174;10,1;1007,7
2021-03-16;5,8;3,1;9,8;211;20,3;1002,9
2021-03-17;3,7;0,9;7,8;217;13,2;1004,6
2021-03-18;3;-1,9;7,4;241;14,9;1010,9
2021-03-19;3,5;1,5;7,5;227;8,8;1016
2021-03-20;5,4;3,2;9,4;224;5,3;1017,7
2021-03-21;8,2;3,3;12,1;324;8,7;1011,7
2021-03-22;10,1;5,7;14,3;162;10,4;1002,7
2021-03-23;6,8;1,7;10,8;26;10,3;1000,8
2021-03-24;0,8;-1,8;4,3;2;11,4;1005,4
2021-03-25;-0,1;-1,7;1,7;353;6,1;1014,6
2021-03-26;-0,3;-2,9;2;267;9,9;1021,7
2021-03-27;3,3;-0,7;8;303;12;1027,4
2021-03-28;5,9;-1,3;11,6;219;6,2;1029,9
2021-03-29;6,8;0,8;14;265;7,7;1027,2
2021-03-30;4,7;0,1;9,8;349;6,8;1023,3
2021-03-31;6,2;2,8;10,5;62;14,3;1018,2
2021-04-01;6,6;3,9;10,5;351;7,6;1013,8
2021-04-02;6,6;1,5;9,8;254;8,3;1015,2
2021-04-03;9,8;2,2;15,2;230;11;1015,4
2021-04-04;12;6,3;15,9;207;13,8;1015,4
2021-04-05;12,1;8,5;15,8;222;19,3;1012,4
2021-04-06;14,1;9,2;18,3;186;14,8;1011,6
2021-04-07;16,4;10,3;22,4;212;16,5;1007,9
2021-04-08;12,2;5,8;17,8;242;13,1;1009,8
2021-04-09;2,8;-0,2;5,4;352;15,6;1019,5
2021-04-10;3,2;0;7,4;15;20;1022,3
2021-04-11;3,3;1,7;5,7;311;11,2;1021,7
2021-04-12;4,9;0,8;8,7;264;6,9;1022,7
2021-04-13;8,7;4,1;13,6;201;6,6;1021,4
2021-04-14;12,4;5,8;18,6;186;10,6;1016,6
2021-04-15;14;9;19,2;222;10,6;1015,4
2021-04-16;13,5;9;17,6;212;8,2;1015,1
2021-04-17;17,1;11;21,7;161;7,7;1016
2021-04-18;15,8;13;19,2;204;14;1016,6
2021-04-19;15,6;10,8;19,4;229;9,9;1013,9
2021-04-20;13,4;9,4;17,6;255;12,1;1010,2
2021-04-21;12,5;7,8;17;289;6,5;1016,6
2021-04-22;12,4;6,5;17,8;298;9;1021,1
2021-04-23;15,2;5,4;22,8;169;9,1;1020,3
2021-04-24;16,2;10,7;21,4;26;6,3;1017,5
2021-04-25;12,9;9,7;17,5;68;7,5;1012,2
2021-04-26;10,9;5,5;15,6;1;10,5;1011,8
2021-04-27;13,9;7,8;20,6;109;7,7;1016,2
2021-04-28;19,3;8,9;25,2;187;9;1014,2
2021-04-29;22,3;14,8;28,4;246;14,2;1014,7
2021-04-30;20;13,5;25,5;292;8,4;1016,5
2021-05-01;19,8;11;27,4;199;6,3;1017,9
2021-05-02;21,7;13,2;28,6;129;7,2;1015,3
2021-05-03;23;14,6;29,4;309;10,2;1012,2
2021-05-04;17,5;11,8;21,6;343;7,6;1014,5
2021-05-05;17,3;9,9;24,4;62;7,9;1012,9
2021-05-06;15,5;11,3;19,5;300;6,8;1012,7
2021-05-07;18;8,4;24,6;58;5,1;1016,4
2021-05-08;19,3;12,6;27,1;237;8,3;1013,5
2021-05-09;13,1;6,2;17,4;346;13,6;1019,1
2021-05-10;12,4;4,1;19,2;64;9,8;1021,8
2021-05-11;15,7;6,2;22,8;359;6,9;1015
2021-05-12;18,8;9,4;26,6;79;9,6;1009,3
2021-05-13;21,2;10,8;29,6;198;9,3;1008
2021-05-14;22,6;12,3;30;228;11,6;1010,5
2021-05-15;22,4;13;29,7;187;6,2;1010,9
2021-05-16;17,4;13,3;24,2;250;10,6;1006,4
2021-05-17;16,4;10,6;21,2;256;11;1009,3
2021-05-18;20,5;11,8;27,1;221;13,9;1008,8
2021-05-19;17,8;11,5;24,1;261;11,2;1014,2
2021-05-20;23,9;11,9;31,8;192;14;1007,4
2021-05-21;20,8;13,7;29,6;244;12,7;1006,5
2021-05-22;13,1;10,3;16,3;309;12;1014,2
2021-05-23;16,5;8,6;24;325;11,7;1017,1
2021-05-24;20,7;11;27,8;16;7,8;1018,9
2021-05-25;22,6;14,5;29,6;356;6,4;1017,7
2021-05-26;22,2;12,6;30,6;26;8,5;1013,3
2021-05-27;22,8;15,7;32,1;102;8,5;1010,6
2021-05-28;22,7;16,1;30;241;6,8;1007,6
2021-05-29;16,2;12,8;20,1;285;11,4;1010,6
2021-05-30;19,8;11,7;26,3;210;6,1;1013,7
2021-05-31;18,5;14,9;22,5;228;9,9;1009,8
2021-06-01;14,8;11,4;20,6;241;9,4;1008,2
2021-06-02;12,8;9,8;17,6;262;12,9;1014,5
2021-06-03;13,2;8,2;17,8;268;11,8;1019,1
2021-06-04;13,8;7;17,8;301;9;1020,1
2021-06-05;13,9;7,4;20;5;8,3;1019,6
2021-06-06;16,5;7,4;23,5;317;5,8;1017,3
2021-06-07;19,7;10,2;26;331;6,4;1016,1
2021-06-08;16,6;13,8;21,7;254;5,6;1014,3
2021-06-09;17,9;13,7;24,9;242;4,3;1011,6
2021-06-10;18,7;11,9;26,2;50;6,6;1010,1
2021-06-11;16,9;14,1;25,4;24;5,2;1011,7
2021-06-12;16,4;12,8;22,4;21;5,1;1013,5
2021-06-13;19,7;10,6;26,6;303;5,9;1012,7
2021-06-14;16,4;13,6;25,4;188;5,5;1009,1
2021-06-15;16,3;11,8;20,9;233;9,8;1010,2
2021-06-16;17,8;13,9;21,7;250;8,2;1009,9
2021-06-17;17,8;13,4;22,1;259;12,3;1015,7
2021-06-18;20,4;13,7;26,4;256;7,9;1015,3
2021-06-19;22,6;15,9;28,6;47;4,9;1011,5
2021-06-20;23,8;16,4;30,8;167;4,1;1009,8
2021-06-21;20,8;15,9;27,1;309;7,1;1010,1
2021-06-22;18,3;14,2;26,1;270;5,3;1012,8
2021-06-23;21,2;13,1;28,7;11;5,9;1014,5
2021-06-24;22,5;16,3;29,1;21;8,2;1014,8
2021-06-25;21,2;15,8;28,1;358;7,3;1014,1
2021-06-26;22,1;16,3;29,6;347;7,5;1011,6
2021-06-27;24;16,9;30,3;11;8,3;1012,9
2021-06-28;24,3;17,6;31;29;10;1014,9
2021-06-29;24,9;17,5;31,4;36;10,3;1015,2
2021-06-30;26;17,7;32,2;56;9,4;1014,5
2021-07-01;27,3;19,3;34,2;1;7,1;1011,9
2021-07-02;28,7;19;36,6;118;8,6;1007,4
2021-07-03;23,6;17,8;31,2;317;9,3;1004,8
2021-07-04;19,1;16,3;22,6;293;13,4;1008,4
2021-07-05;20,8;13,4;26,7;284;9;1009,4
2021-07-06;21,3;16;26,9;255;8,2;1008,1
2021-07-07;23;16,4;28,9;292;7,5;1011,4
2021-07-08;23,6;16;30,3;325;6,6;1014
2021-07-09;23,9;17;31;26;11;1013,7
2021-07-10;23,8;16,4;30,7;26;11,6;1010,9
2021-07-11;24,4;16;31,4;0;6,6;1009,9
2021-07-12;26,3;18,7;32,2;354;7,6;1010,7
2021-07-13;26;18,4;33,2;2;9,5;1011,4
2021-07-14;25,6;18,3;32;13;10,6;1011,2
2021-07-15;23,9;17,7;33,4;27;12,7;1010,7
2021-07-16;26,9;17,3;33,2;59;9,9;1009,2
2021-07-17;29,2;20,9;35,9;51;7,4;1006,1
2021-07-18;31,2;22,6;38,6;111;7,8;1004,2
2021-07-19;32,1;24,8;39,3;154;8,7;1005,3
2021-07-20;30,3;21,6;37,9;258;7,5;1006,5
2021-07-21;27,8;21,8;34,8;297;9,6;1008,4
2021-07-22;23,8;18,6;29,4;335;12,4;1010,1
2021-07-23;22,9;16,2;29,2;7;9,7;1010,9
2021-07-24;23,1;16,1;29,1;47;11,4;1010,6
2021-07-25;24,1;17,2;29,7;53;13,1;1012,2
2021-07-26;24,4;17,8;31,3;3;11,4;1014,6
2021-07-27;25,3;19;31,1;7;12,8;1016,5
2021-07-28;25,7;19,5;31,7;35;14,9;1015,9
2021-07-29;25,2;16,2;32,6;46;12;1013,4
2021-07-30;26,6;16,8;34,3;43;11,8;1011
2021-07-31;27,4;19;34,6;31;11,8;1010,4
2021-08-01;27,4;19,4;35;19;10,4;1011,2
2021-08-02;26,9;19,1;33,1;33;8,8;1011,4
2021-08-03;28,7;19,9;36,8;24;10;1012,5
2021-08-04;29,2;20,8;35,9;12;9;1013,8
2021-08-05;29,3;22;35,8;12;7,5;1011,9
2021-08-06;30,1;21,7;36,3;358;7,4;1005,3
2021-08-07;24,9;19,3;28,1;328;8,3;1004,8
2021-08-08;22,7;16,6;29,4;6;10;1012,4
2021-08-09;23,6;17,2;30,4;343;9,1;1015,2
2021-08-10;24,2;15,7;31,1;335;11,1;1014,4
2021-08-11;21,8;15,8;28,6;312;12,1;1012,7
2021-08-12;22,1;15,1;30,5;336;9,9;1014,8
2021-08-13;22,6;16,1;29;14;10,9;1017,4
2021-08-14;22,4;15,3;28,6;30;12,7;1017,5
2021-08-15;22,2;15,3;28,6;28;10;1015,4
2021-08-16;23,8;15,8;30,2;40;7,3;1014,6
2021-08-17;25,6;17,7;31,9;3;6,4;1011,9
2021-08-18;26,6;19,6;33,3;10;9,3;1007,8
2021-08-19;23,1;15,4;30,9;349;8,9;1008,8
2021-08-20;23,4;17;30,2;345;7,6;1012,6
2021-08-21;24,5;16,8;31;42;7,7;1013,8
2021-08-22;25,2;18,4;31,7;42;10,7;1012,8
2021-08-23;24,1;17,6;30;52;11,1;1013,8
2021-08-24;24,3;16,9;30,5;52;6,9;1012,8
2021-08-25;26,2;18,7;33,1;318;8,1;1011,1
2021-08-26;26,4;18,1;33,2;279;8,6;1010,6
2021-08-27;27,4;17,9;35,4;50;7,2;1011
2021-08-28;30,2;20,2;37,3;81;9,4;1008,9
2021-08-29;29,7;23,6;36,6;102;9,6;1004,3
2021-08-30;28,2;21,2;35,5;279;7,1;1007,1
2021-08-31;26,3;22,2;32,8;26;7,6;1011,6
2021-09-01;23,1;18,2;30,6;28;9,6;1011,4
2021-09-02;20,2;15;24,9;339;11,5;1013,6
2021-09-03;18,1;12,1;24,5;8;7,7;1016,9
2021-09-04;19,5;12,1;25,9;25;6,8;1014,5
2021-09-05;21,1;14;28,4;71;11,3;1013,1
2021-09-06;18,9;12,4;26;63;16,8;1016,8
2021-09-07;17,6;10,4;23,6;62;15,5;1020,4
2021-09-08;19,8;10;28,1;56;10;1018,9
2021-09-09;22,2;14,4;30,8;67;9,4;1015
2021-09-10;21,9;14,3;28,2;11;8,1;1012,3
2021-09-11;19,3;14;26;292;8,3;1013,7
2021-09-12;20,2;13,6;27,9;319;4,5;1012,2
2021-09-13;21,3;14,3;28,2;51;6,9;1010,4
2021-09-14;20;15;29,6;41;7,9;1011,9
2021-09-15;16,3;14,5;19;34;10,9;1013,3
2021-09-16;16,7;12,8;20,2;13;9,6;1015,2
2021-09-17;16,5;8,4;23,4;2;5,4;1016,8
2021-09-18;19,5;9,1;26,7;203;7,4;1014,7
2021-09-19;20,8;15,1;26,8;233;10,3;1014,4
2021-09-20;21,8;15,1;28,8;230;9,1;1015,2
2021-09-21;20,8;14,7;27,9;272;9,4;1015,3
2021-09-22;16,9;12,6;22,2;309;7,6;1014,1
2021-09-23;12,9;8,1;18,1;325;10,1;1011,3
2021-09-24;12,5;5,5;19;270;7,5;1017,2
2021-09-25;14,2;8,2;20,7;271;8,7;1019,3
2021-09-26;16,3;7,3;25,2;48;4,3;1021,6
2021-09-27;18,8;8,8;27,2;17;5,4;1015,6
2021-09-28;18,6;11,9;26;35;5,9;1015
2021-09-29;17,5;11,1;23,4;25;9,8;1016,4
2021-09-30;14,9;9,2;22,4;33;11,6;1018,3
2021-10-01;13,8;5,6;22,3;45;7,8;1019,8
2021-10-02;15,2;7,5;22,9;43;7,5;1018
2021-10-03;14,4;7,7;22,7;11;7,9;1019,1
2021-10-04;14,6;7,3;22,5;19;5,8;1020,3
2021-10-05;12,4;6,8;18,9;6;9,1;1019,8
2021-10-06;12,9;4,2;21,4;55;6;1020,7
2021-10-07;14,7;7,2;22,3;95;7,1;1019,3
2021-10-08;15,9;7,4;25,6;99;5,6;1018,4
2021-10-09;17,3;7,8;28,2;93;7,1;1017
2021-10-10;18,9;9,1;29,6;103;6,3;1017,8
2021-10-11;17,3;9,5;25,6;195;6,9;1016,7
2021-10-12;18,2;9,8;27,2;137;8,2;1010,1
2021-10-13;13,8;10,1;19,6;236;12,5;1011,7
2021-10-14;15,4;8,2;26,3;98;7,7;1017,5
2021-10-15;16,8;9,2;26,8;117;7;1017,3
2021-10-16;15,5;10,4;24,3;73;8,9;1013,7
2021-10-17;13,6;9,7;20,2;257;8,8;1015,5
2021-10-18;14,5;9,3;20,1;291;6,3;1019,6
2021-10-19;12,2;5,1;18,4;28;8;1023,7
2021-10-20;11,2;4,1;16,6;57;7,3;1026,8
2021-10-21;10,4;3,8;17,9;116;5,6;1024,9
2021-10-22;11,9;3,5;23,9;110;5,4;1022,2
2021-10-23;13;5,2;21,5;138;5,9;1021,2
2021-10-24;12,1;5,2;19,3;255;8,9;1020,8
2021-10-25;8,7;4,5;13,4;48;12,4;1026,6
2021-10-26;6,8;1,9;12,7;61;10;1025,8
2021-10-27;9,2;2,3;16,6;35;4,6;1022
2021-10-28;11,3;4,4;19;43;4,8;1021
2021-10-29;10,3;6,2;15,5;61;11,5;1022
2021-10-30;9,4;3,9;15,8;75;8,1;1022,7
2021-10-31;9,4;6,1;12,4;99;7,2;1020,2
2021-11-01;13,2;8,7;19,2;122;8,9;1015,8
2021-11-02;14,2;10,3;18,6;160;7,2;1013,5
2021-11-03;13,6;10,2;18,3;221;8,6;1018,2
2021-11-04;12,8;7,8;20,9;111;5,3;1024,3
2021-11-05;11,9;6,3;20;68;3,9;1023,7
2021-11-06;12,1;4;20,4;73;4,3;1023,5
2021-11-07;13,5;6,3;23,2;71;4,2;1022,6
2021-11-08;14,3;7,9;22,1;107;5,1;1020,1
2021-11-09;13,7;6,8;21,1;212;6,5;1020,9
2021-11-10;7,7;1,7;10,7;359;13,6;1028,4
2021-11-11;3,5;-0,3;8,6;59;7,9;1030,5
2021-11-12;5;-1,3;11;75;4,4;1025,5
2021-11-13;5,4;-0,7;14,2;91;3,7;1024,3
2021-11-14;6,4;0;15,2;55;4,1;1023
2021-11-15;8,1;1,4;16;42;5,2;1021,5
2021-11-16;7;0,8;12,3;68;9,2;1023,9
2021-11-17;6,2;0;13,8;89;4,9;1021,7
2021-11-18;7,6;1,3;15,2;135;4,1;1021,5
2021-11-19;5,7;3;8,5;248;4,4;1019,9
2021-11-20;6,2;0,9;9,6;7;6,2;1017,3
2021-11-21;5,4;0,2;11,8;88;5,8;1019,5
2021-11-22;6,4;0;14,4;143;5,8;1020,9
2021-11-23;9,1;2,5;14,8;194;6,2;1020
2021-11-24;7,9;4,5;9,4;29;9,1;1019,5
2021-11-25;6,4;4,4;8,6;74;8,8;1021,5
2021-11-26;8,7;6,3;11,6;138;8;1019,4
2021-11-27;11,9;8,1;14,5;190;12,4;1015,5
2021-11-28;12,6;8,5;17,1;190;12,2;1013,1
2021-11-29;13,8;7,1;19;180;20,3;1011,7
2021-11-30;9,4;4,9;17,1;235;23,8;1006,1
2021-12-01;3,3;2,1;5,5;254;13,3;1014,7
2021-12-02;3,9;-2,3;8,1;191;7,7;1020,2
2021-12-03;5,8;0;11,4;168;8,2;1019,7
2021-12-04;8,1;3,4;11,7;148;8,5;1016,3
2021-12-05;7,7;3,9;10,6;156;5,2;1013,3
2021-12-06;9,6;3,8;15;152;9,4;1016,6
2021-12-07;11,8;9,2;15;141;18,2;1010,3
2021-12-08;7,3;6,1;9,4;188;13,2;1007,4
2021-12-09;6,2;2,5;9,2;221;9,8;1019,4
2021-12-10;6,3;1,2;13,1;123;8;1021,2
